short_name,full_name
Fognini F.,Fabio Fognini
Shang J.,NA
Ruud C.,Casper Ruud
Coric B.,NA
Struff J.L.,NA
Dimitrov G.,Grigor Dimitrov
Shapovalov D.,NA
Tiafoe F.,Frances Tiafoe
Thompson J.,NA
Zhang Zh.,Zhang Zhizhen
Berrettini M.,NA
Nakashima B.,Brandon Nakashima
Monfils G.,Gaël Monfils
Medvedev D.,Daniil Medvedev
Medvedev D.,Daniil Medvedev
Wawrinka S.,Stan Wawrinka
Muller A.,Alexandre Müller
Altmaier D.,Daniel Altmaier
Alcaraz C.,Carlos Alcaraz
Harris L.,Lloyd Harris
Cazaux A.,Arthur Cazaux
Humbert U.,Ugo Humbert
Vukic A.,NA
Bublik A.,Alexander Bublik
Van De Zandschulp B.,Botic van de Zandschulp
Bautista Agut R.,NA
Sonego L.,NA
Griekspoor T.,Tallon Griekspoor
Sinner J.,Jannik Sinner
Virtanen O.,NA
Paul T.,Tommy Paul
Kecmanovic M.,NA
Nishioka Y.,NA
Seyboth Wild T.,NA
Mpetshi G.,NA
Musetti L.,Lorenzo Musetti
Darderi L.,Luciano Darderi
Hurkacz H.,Hubert Hurkacz
De Minaur A.,Alex de Minaur
Munar J.,NA
Popyrin A.,NA
Etcheverry T.,Tomás Martín Etcheverry
Comesana F.,Francisco Comesaña
Shelton B.,Ben Shelton
Fearnley J.,Jacob Fearnley
Walton A.,Adam Walton
Zverev A.,Alexander Zverev
Djokovic N.,Novak Djokovic
Fils A.,Arthur Fils
Tsitsipas S.,Stefanos Tsitsipas
Rune H.,Holger Rune
Giron M.,NA
Draper J.,Jack Draper
Cobolli F.,Flavio Cobolli
Norrie C.,Cameron Norrie
Fritz T.,Taylor Fritz
Halys Q.,Quentin Halys
Khachanov K.,Karen Khachanov
Khachanov K.,Karen Khachanov
Safiullin R.,Roman Safiullin
Ruusuvuori E.,Emil Ruusuvuori
Pouille L.,Lucas Pouille
Rinderknech A.,Arthur Rinderknech
Machac T.,Tomas Machac
Tabilo A.,Alejandro Tabilo
Kokkinakis T.,Thanasi Kokkinakis
Fognini F.,Fabio Fognini
Tiafoe F.,Frances Tiafoe
Nakashima B.,Brandon Nakashima
Humbert U.,Ugo Humbert
Medvedev D.,Daniil Medvedev
Medvedev D.,Daniil Medvedev
Alcaraz C.,Carlos Alcaraz
Bautista Agut R.,NA
Bublik A.,Alexander Bublik
Paul T.,Tommy Paul
Kecmanovic M.,NA
Struff J.L.,NA
Sinner J.,Jannik Sinner
De Minaur A.,Alex de Minaur
Fils A.,Arthur Fils
Comesana F.,Francisco Comesaña
Shelton B.,Ben Shelton
Dimitrov G.,Grigor Dimitrov
Shapovalov D.,NA
Popyrin A.,NA
Musetti L.,Lorenzo Musetti
Safiullin R.,Roman Safiullin
Djokovic N.,Novak Djokovic
Tabilo A.,Alejandro Tabilo
Monfils G.,Gaël Monfils
Halys Q.,Quentin Halys
Rune H.,Holger Rune
Fritz T.,Taylor Fritz
Pouille L.,Lucas Pouille
Norrie C.,Cameron Norrie
Ruusuvuori E.,Emil Ruusuvuori
Mpetshi G.,NA
Zverev A.,Alexander Zverev
Paul T.,Tommy Paul
Alcaraz C.,Carlos Alcaraz
Dimitrov G.,Grigor Dimitrov
Sinner J.,Jannik Sinner
De Minaur A.,Alex de Minaur
Shelton B.,Ben Shelton
Humbert U.,Ugo Humbert
Zverev A.,Alexander Zverev
Fils A.,Arthur Fils
Mpetshi G.,NA
Bautista Agut R.,NA
Musetti L.,Lorenzo Musetti
Rune H.,Holger Rune
Medvedev D.,Daniil Medvedev
Medvedev D.,Daniil Medvedev
Djokovic N.,Novak Djokovic
Fritz T.,Taylor Fritz
Alcaraz C.,Carlos Alcaraz
Sinner J.,Jannik Sinner
Medvedev D.,Daniil Medvedev
Medvedev D.,Daniil Medvedev
Paul T.,Tommy Paul
Musetti L.,Lorenzo Musetti
De Minaur A.,Alex de Minaur
Fritz T.,Taylor Fritz
Djokovic N.,Novak Djokovic
Medvedev D.,Daniil Medvedev
Medvedev D.,Daniil Medvedev
Alcaraz C.,Carlos Alcaraz
Djokovic N.,Novak Djokovic
Musetti L.,Lorenzo Musetti
Alcaraz C.,Carlos Alcaraz
Djokovic N.,Novak Djokovic
Alcaraz C.,Carlos Alcaraz
